Course Name,Course Code,Rec. Grade,Factor,AP Credit,DCC Credit,UAlbany Credit,Pre-Requiesites,Graduation Requirement,Subject,High School Credits,Cost,Cost Optional?,Semester,2025-2026 Period,2024-2025 Periods,2023-2024 Periods,2022 - 2023 Periods ,Description
Accelerated Studio in Art,1,8,8,0,0,0,0,Fine Arts,Art,,N/A,N/A,A,,,,,"This is a class for middle school students that are willing to be advanced in art and earn high school credits. In order to select this class, students must have a final average grade in art that is 87% or above, students are expected to work effectively in class and show enthusiasm in art. All students that meet the requirements will be invited to the accelerated studio in art entrance exam. Students must successfully pass the exam in order to select this class. SPECIAL NOTE: This class meets daily from 7:00 to 7:40 am, which does NOT run in the normal school day, therefore transportation is not provided."
Advanced Painting,2,10,9,0,0,0,84,Fine Arts,Art,1,N/A,N/A,A,,,,,"This honors level course is designed for students who have a strong interest in continuing to refine their drawing and painting technical and creative skills. Students will explore a variety of drawing and painting media, applicable art historical and cultural study, art theory, and aesthetic inquiry."
Algebra I,3,8,8,0,0,0,0,Math,Math,,N/A,N/A,A,,,,,"This course prepares students for the Algebra exam, a requirement for a diploma. It will assist students in developing and choosing the appropriate skills and strategies that can be used to successfully solve problems in a variety of settings. Topics covered include the relationship between quantities, reasoning with equations and their graphs, descriptive statistics, linear and exponential functions, polynomial and quadratic expressions, equations and functions and modeling with equations and functions."
Algebra II Honors,4,10,9,0,0,0,48,Math,Math,,N/A,N/A,A,,,,,"This course is designed to provide in-depth coverage of the NYS Math curriculum in preparation for the Regents exam, which is required for an Advanced Regents diploma. The course focuses on polynomial, rational and radical relationships, complex numbers, trigonometric functions, exponential and logarithmic functions, and statistical inferences. Additionally, this honors level course deals with some topics in greater depth of study and includes additional topics. The course culminates in June with the Regents examination. "
Algebra II Regents,5,10,8,0,0,0,48 OR 50,Math,Math,,N/A,N/A,A,,,,,"This course is designed to provide in-depth coverage of the NYS Math curriculum in preparation for the Regents exam, which is required for an Advanced Regents diploma. The course focuses on polynomial, rational and radical relationships, complex numbers, trigonometric functions, exponential and logarithmic functions, and statistical inferences. The course culminates in June with the Regents examination. "
Algebra II with Lab,6,10,8,0,0,0,48 OR 50 OR 51,Math,Math,,N/A,N/A,A,,,,,"This course is designed to provide in-depth coverage of the NYS Math curriculum in preparation for the Regents exam, which is required for an Advanced Regents diploma. During the attached lab period students will review pertinent skills from Algebra I and Geometry, and reinforce the most challenging topics found in Algebra II. The course focuses on polynomial, rational and radical relationships, complex numbers, trigonometric functions, exponential and logarithmic functions, and statistical inferences. The course culminates in June with the Regents examination. "
Algebra XT-1,7,9,8,0,0,0,0,Math,Math,,N/A,N/A,A,,,,,"This course is a 2-year program that prepares students for the Algebra exam, a requirement for a diploma. The course will assist students in developing and choosing the appropriate skills and strategies that can be used to successfully solve problems in a variety of settings. Topics covered include the relationship between quantities, reasoning with equations and their graphs, descriptive statistics, linear and exponential functions, polynomial and quadratic expressions, equations and functions and modeling with equations and functions. A school-generated final exam will be given after the first year. This course culminates in June with a Regents examination administered at the end of Algebra XT-2. Students must meet established criteria in order to be eligible for the 2-year program."
Algebra XT-2,8,10,8,0,0,0,8,Math,Math,,N/A,N/A,A,,,,,"This course is a 2-year program that prepares students for the Algebra exam, a requirement for a diploma. The course will assist students in developing and choosing the appropriate skills and strategies that can be used to successfully solve problems in a variety of settings. Topics covered include the relationship between quantities, reasoning with equations and their graphs, descriptive statistics, linear and exponential functions, polynomial and quadratic expressions, equations and functions and modeling with equations and functions. A school-generated final exam will be given after the first year. This course culminates in June with a Regents examination administered at the end of Algebra XT-2. Students must meet established criteria in order to be eligible for the 2-year program."
AP Biology Dual,9,11,10,1,8,0,(3 OR 8) AND (48 OR 50 OR 51) AND (56 OR 57),None,Science,,$90,No,A,,,,,"This course of study will pursue in greater depth the major units of biology encountered in the college introductory course Biology (Regents). The approach in presenting the main concepts will be through lecture presentation, laboratory investigations, and required supplemental readings. Superior reading skills are required. Students who wish to receive DCC credits must register for Bio 105 and 106 individually and pay tuition. A DCC final exam will be given to students at the end of semester 1 for Bio 105 and at the end of semester 2 for Bio 106. Qualified students earn high school and college credit concurrently and college credit may be transferable to most two and four year colleges and universities."
AP Calculus BC ,10,12,10,1,0,0,,Math,Math,,$90,No,A,,,,,"AP Calculus BC is an introductory college-level calculus course. Students cultivate their understanding of differential and integral calculus through engaging with real-world problems represented graphically, numerically, analytically, and verbally. Students use definitions and theorems to build arguments and justify conclusions as they explore concepts like change, limits, and the analysis of functions. A graphing calculator is required for this course."
AP Chemistry,11,11,10,1,0,0,(3 OR 8) AND (48 OR 50 OR 51) AND (56 OR 57) AND (85 OR 86),None,Science,,$90,No,A,,,,,Areas of study in this course are: atomic structure; stoichiometry; chemical bonding; properties; oxidation-reduction reactions; kinetics; descriptive chemistry of elements; introduction to organic chemistry. Solving problems and conducting laboratory experiments relating to these topics are integral parts of the course.
AP Computer Science A,12,10,10,1,0,0,69 OR 32,Computer Science,Computer,,$90,No,A,,,,,"This is a course in computer science using the Java programming language. This course will cover the fundamentals of programming syntax and methodology. Java is a modern, object-oriented programming language used to create professional software. In addition to gaining fluency in Java, students will develop general computer skills and consider the social and ethical implications of computing. The course will explore systematic problem-solving strategies that can be applied to real world problems."
AP Computer Science Principles ,13,10,10,1,0,0,69 OR 32,Computer Science,Computer,,$90,No,A,,,,,"This course was developed to address a critical need for a broader range of students to gain exposure to computing in high school. Almost every field today – from the arts and media to lab sciences –requires an understanding of computing. Multidisciplinary in nature, the course teaches students to analyze problems, use creative thinking, and collaborate to investigate solutions to real-world issues using computing. More specifically, the course will introduce students to the creative aspects of programming, abstractions, algorithms, large data sets, the Internet, cybersecurity concerns, and computing impacts. "
AP English Language and Composition,14,11,10,1,0,0,25 OR 26,English Language,English,,$90,No,A,,,,,"The course provides the more mature and capable English student with a comprehensive study of American literature, its themes, archetypes, and major movements, with an emphasis on analyzing literary technique and developing interpretive skills. This course focuses on an increasingly refined level of both reading and writing in the various modes of discourse, enabling students to read complex texts with understanding and to write prose of sufficient richness and complexity to communicate with mature readers (AP course description). The course assumes that students already understand and use Standard English grammar. Both reading and writing assignments develop students’ understanding and use of various rhetorical strategies. The research project requires analysis of two major works of American literature. Extensive reading and writing are required. "
AP English Literature and Composition,15,12,10,1,0,0,14 OR 27,English Language,English,,$90,No,A,,,,,"This course is designed to meet the needs of the more advanced English student who wishes to explore in depth composition and classic literature at the college level. The emphasis of the course is on experiencing, interpreting and evaluating works of recognized literary merit from the sixteenth century to the present, including poetry, drama, speeches, essays, journals, and fiction, both long and short. According to the AP catalogue, the students' reading should be both wide and deep. Students will continue to develop their writing skills through short analytical pieces, essay exams, literary criticisms, and research projects. An understanding of the workings of English grammar and an ever-growing vocabulary are essential. "
AP European History,16,12,10,1,0,0,0,None,Social Studies,,$90,No,A,,,,,"This course offers an opportunity to learn the ideas and events that shaped the European experiences from the Renaissance to the late 20th century (1450 - the present). Students are expected to be familiar with the general ideas and topics of modern European history. They should be able to express more detailed knowledge in oral and written discussions. The course focuses on social and economic change, political and military themes, and cultural and intellectual ideas. Emphasis is placed on student discussions, college text readings, primary source readings and several short position papers. Students who select this course should be willing to express their ideas in class, be interested in history, like to read, and be good students in English Composition. Qualified eleventh and twelfth grade students will be evaluated based on specific criteria including, but not limited to, teacher recommendations and performance in prerequisite courses to this program with the approval of the instructor and if room in the class exists. The AP exam in May must be taken in order to satisfy AP factor requirements."
AP Music Theory,17,10,10,1,0,0,59,Fine Arts,Music,,$90,No,A,,,,,"The AP Music Theory course corresponds to one or two semesters of a typical introductory college music theory course that covers topics such as musicianship, theory, musical materials, and procedures. Musicianship skills, including dictation and other listening skills, sight singing, and harmony, are considered an important part of the course. Through the course, students develop the ability to recognize, understand, and describe basic materials and processes of tonal music that are heard or presented in a score. Development of aural skills is a primary objective. Performance is also part of the curriculum through the practice of sight singing. Students understand basic concepts and terminology by listening to and performing a wide variety of music. Notational skills, speed, and fluency with basic materials are also emphasized."
AP Physics C: Mechanics and Electricity and Magnetism ,18,12,10,1,0,0,87 AND (10 OR 23),None,Science,,$90,No,A,,,,,"This course is a two semester university physics course in Newtonian Mechanics and Electricity & Magnetism, which includes calculus concepts and computation. Classes will be a combination of lecture, group problem solving/discussion, and experimentation. Formal lab reports will be required."
AP Studio in Drawing,19,11,10,1,0,0,2,Fine Arts,Art,,$90,No,A,,,,,"This AP level course in drawing and painting is designed for students who are able to move on to college level drawing and painting expectations. Students will develop and explore their own individual creative directions and styles. This is achieved through an intense and highly independent work process. In addition to the regular classroom studio time, the student will be involved with considerable outside work. There will also be some moderate material investment beyond what the school normally supplies. "
AP United States History and Government,20,11,10,1,0,0,0,Humanities,Social Studies,,$90,No,A,,,,,"The Advanced Placement course in United States History is designed to provide students with the analytical skills and factual knowledge necessary to deal critically with the problems and materials in United States History. The course prepares students for intermediate and advanced college courses by making demands upon them equivalent to those made by full-year introductory college courses in United States History. This course differs from other United States History courses in its depth and difficulty. Students who select this course should be willing to express their ideas in class, be interested in history, like to read, and be good students in English Composition. An average of one hour of homework a night is required. The course is offered to those students in grade eleven who are interested in an advanced course in United States History leading to a Regents diploma and potential college credit for successfully completing the required Advanced Placement Exam. "
Applied Financial Mathematics,21,11,8,0,0,0,3 OR 8,Math,Math,,N/A,N/A,A,,,,,This course is an alternative for those students who have completed Algebra I and is not intended to be a college prep course. The focal point of the course is the application of mathematics to real world settings. Students will develop problem solving and reasoning skills through their study of math in its practical use.
Band,22,9,8,0,0,0,0,Fine Arts,Music,,N/A,N/A,A,,,,,"Concert band is offered for students who wish to develop their playing, reading and theory skills. Students in concert band will meet every day first period. All students involved in this course will increase their level of musicianship by paying attention to the areas of pitch, intonation, melody, harmony and rhythm. Besides learning musical concepts, this class also focuses on performing. Mandatory performances are the winter and spring concerts and PRISMS. Students will also have the opportunity to perform and be graded as a solo performer at the NYSSMA solo festival. Students who score high at this festival could possibly have the opportunity to perform at Area All-State and Conference All-State. All students involved in this course are required to have their own instrument except in the case of large brass and woodwind instruments such as tuba or euphonium. In class students will also be taught music theory skills, and musical terms that they will apply to their performances. Any students who wish to participate in this course need to have previous instrumental experience either through our district feeder program or transfer from another music program. This course will culminate in a locally developed exam. Students who show a high degree of proficiency on their instrument will have the opportunity to take part in other performing ensembles. The ensembles include Percussion Ensemble, Jazz Band, Pep Band and Drum Line. These groups are not credit courses but do give students an even more in depth musical experience."
Calculus 1H Dual,23,12,9,0,0,0,4 OR 5 OR 6,Math,Math,,$218,Yes,A,,,,,"This course includes topics normally covered during the first semester of a threesemester sequence. Topics include the derivative, limits, continuity, differentiability, the definite integral, the Fundamental Theorem of Calculus, techniques of differentiation (including for transcendental functions), applications of differentiation, mathematical modeling and computer applications"
Chorus,24,9,8,0,0,0,0,Fine Arts,Music,,N/A,N/A,A,,,,,"Chorus is for students who desire to develop their vocal, music reading and theory skills, and who also understand that choral singing is a group effort that relies on each person working to his/her greatest potential. Students in chorus will have the opportunity to develop as a singer by increasing tone quality, intonation, breathing and sight-singing skills. They will have the opportunity to improve as a solo singer through lessons and participation at NYSSMA solo festival. They will grow as a team player, working with others in their class and vocal section to improve their own voice. They will be expected to perform in several concerts throughout the year as a member of the chorus."
Common Core English 10 (Honors),25,10,9,0,0,0,28 OR 29,English Language,English,,N/A,N/A,A,,,,,"This course is designed for students who have demonstrated competency above grade level in English 9. To improve student writing, grammar and composition, lessons are based on student work and professional exemplars. Academic vocabulary is based on the works studied. Rigorous reading selections from genres including short story, novel, essay, biography, drama and poetry are presented. The student compares the techniques of writers who develop the same theme in two or more genres. The basic anthologies are supplemented by a variety of paperback selections and other readings."
Common Core English 10 (Regents),26,10,8,0,0,0,28 OR 29,English Language,English,,N/A,N/A,A,,,,,"Rigorous fiction and nonfiction including the short story, novel, essay, biography, drama and poetry are studied. Students will identify literary devices and their significance in the text. The basic anthologies are supplemented with additional selections. Written work is based on close reading of text. Students are taught to recognize various genres and are encouraged to develop an academic style of writing. Clarity, organization and evidence based writing are emphasized. Composition assignments require the application of the rules of standard English grammar and usage. Both developmental vocabulary and academic vocabulary are emphasized. Preparation for the Common Core Regents examination in English is continued."
Common Core English 11,27,11,8,0,0,0,25 OR 26,English Language,English,,N/A,N/A,A,,,,,"Students study American fiction and nonfiction. Literature and nonfiction focus on the overarching theme of the American Dream. The course continues the department’s emphasis on reading on an analytical and evaluative level, producing evidence based writing, conducting authentic research and developing academic vocabulary. Grammar is taught through composition. Students learn to analyze author’s style, trace the continuity of ideas reflected in American literature and develop sound composition skills. Academic vocabulary study is continued."
